;0
0;Tomas Berdych
1;Carlos Berlocq
2;David Ferrer
3;Edvin Gustafsson
4;Marcos Baghdatis
5;Riccardo Bellotti
6;Philip Moebius
7;Tommy Haas
8;Linus Frost
9;Daniel Svensson
10;Jonathan Stenberg
11;Robert Rasmussen
12;Simon Birgerson
13;Michal Przysiezny
14;Elliot Carnello
15;Sami Reinwein
16;Patrick Mayer
17;Jesper Klov Nilsson
18;Eric Ahren Moonga
19;Amar Hromic
20;Cezar Johansson
21;August Zetterberg
22;Eric Samuelsson
23;Carl Gustafsson
24;Omar Salman
25;Carl Hedstrom
26;Karl Ekwurtzel
27;Jakob Groener
28;Adam Gustavsson
29;Serdar Bojadjieva
30;Vincent Eriksson
31;John Harrison Richmond
32;Adam Svensson
33;Stefan Milenkovic
34;Claudio Rivera
35;Simon Norenius
36;Rasmus Schwarz
37;Timothy Elgegren
38;David Nord
39;Magnus Eriksson
40;Filip Malbasic
41;Vadim Alekseenko
42;Niels Desein
43;Ante Tepic
44;Mert Altinalev
45;Jakob Arvidsson Ehn
46;Michael Brehler
47;Viktor Thoresson
48;Nils Heimer
49;Oskar Wikberg
50;Alexander Regner
51;Sizya Ernest Kivanda
52;Tom Georg Hjertonsson
53;Axel Holm
54;Marcus Vidgren
55;Marc Giner
56;Anton Waern
57;Angelos Lenis
58;Enrique Lopez Perez
59;Nikola Vuckovic
60;Martin Nilsson
61;Marcelo Ignacio Barros Troncoso
62;Denny Stanojevic
63;Tore Deleuran-Skjold
64;Germain Gigounon
65;Jacob Johansson
66;Nima Madami
67;Nicklas Szymanski
68;Rasmus Jonasson
69;Joe Schmulian
70;Joakim Nordstrom
71;Lars Dahlberg
72;Jesper Cederlind
73;Lars Johan Beigart
74;Joel Akerberg
75;Anders Arenfeldt Holm
76;Erik Moberg
77;Staffan Lundgren
78;Robin Fahgen
79;Kristoffer Jarpmyr
80;Vladimir Zinyakov
81;Patrik Jarestrand
82;Magnus Broms
83;Otto Sauer
84;Johan Olsson
85;Tom Eklund
86;Riad Sawas
87;Martin Taipale
88;Joan Berg
89;Robert Lindberg
90;Alexander Konigsfeldt
91;Ola Jonsson
92;Robert Seguso
93;Ludde Jarpmyr
94;Lars Goran Svensson
95;Robert Veres
96;Leander Van Der Vaart
97;Joakim Simonsen
98;Johan Berg
99;Marcus Westman
100;Philip Therp
101;Jakob Klaeson
102;Jonas Osterman
103;Tore Meinecke
104;Tobias Svantesson
105;Carl Demburg
106;Niklas Persson
107;Sandy Mayer
108;Per Hjertquist
109;Balazs Taroczy
110;Kent Carlsson
111;Krister Wedenby
112;Florian Kunth
113;Joakim Nystrom
114;Ronnie Bathman
115;Guillermo Rivas
116;Henrik Sundstrom
117;Gianni Ocleppo
118;Henry Pfister
119;Peter Fleming
120;Shlomo Glickstein
121;Butch Walts
122;Andrew Pattison
123;Brian Gottfried
124;Tim Gullikson
125;Mark Cox
126;Sherwood Stewart
127;Sammy Giammalva Jr.
128;Horacio de la Pena
129;Ben Testerman
130;Alberto Tous
131;Wojtek Fibak
132;Mark Dickson
133;Stefan Simonsson
134;Hans-Dieter Beutel
135;Steve Denton
136;Corrado Barazzutti
137;Bernhard Pils
138;Jose Higueras
139;Heinz Gunthardt
140;Matt Doyle
141;Mel Purcell
142;Fredrik Rosenquist
143;Gary Donnelly
144;Mike De Palmer
145;Miloslav Mecir Sr.
146;Damir Keretic
147;Magnus Tideman
148;Hans Simonsson
149;Michael Westphal
150;Tomas Smid
151;Vitas Gerulaitis
152;Jim Gurfein
153;Jay Lapidus
154;Lloyd Bourne
155;Peter Carlsson
156;Gustavo Tiberti
157;Jose Lopez-Maeso
158;Stan Smith
159;Stanislav Birner
160;Peter McNamara
161;Tenny Svensson
162;Jan Kallquist
163;Mark Edmondson
164;Javier Soler
165;Paolo Bertolucci
166;Victor Amaya
167;Richard Lewis
168;Bengt Lundstedt
169;Christophe Roger-Vasselin
170;Juan Avendano
171;Christoph Zipf
172;Scott Lipton
173;Russell Simpson
174;Paul McNamee
175;Paul Kronk
176;Andreas Maurer
177;Jaroslav Navratil
178;Nick Saviano
179;Jiri Granat
180;Jeff Borowiak
181;Raul Ramirez
182;Jiri Hrebec
183;Birger Andersson
184;Adriano Panatta
185;Bernard Mitton
186;Tom Okker
187;Ulrich Pinner
188;Manuel Orantes
189;Gerald Battrick
190;Ismail El Shafei
191;Peter Lindgren
192;Steve Meister
193;David Carter
194;Magnus Nilsson
195;Peter Svensson
196;Claudio Panatta
197;Tomm Warneke
198;Ivan Kley
199;Carl-Axel Hageskog
200;Leo Palin
201;Olle Palmer
202;Jeff Klaparda
203;Peter Elter
204;John Sadri
205;Chris Johnstone
206;Alejandro Cortes
207;Stefan Svensson
208;Carlos Kirmayr
209;Vincent Van Patten
210;Victor Pecci
211;Roland Stadler
212;Trevor Allan
213;George Hardie
214;Dick R. Bohrnstedt
215;Ferrante Rocchi
216;Buster C. Mottram
217;Tracy Delatte
218;Hans-Peter Kandler
219;Robert Lutz
220;Steve Docherty
221;Fritz Buehning
222;Per Larsson
223;Bernard Boileau
224;Ivan Dupasquier
225;Antonio Zugarelli
226;Billy Martin
227;Kjell Johansson
228;Christophe Freyss
229;Ilie Nastase
230;John Austin
231;Antonio Munoz
232;Chris Lewis
233;Bob  Carmichael
234;Tony Giammalva
235;Jan Norback
236;John Lloyd
237;Robin Drysdale
238;Bob Giltinan
239;Arthur Ashe
240;Erik Van Dillen
241;Roger Taylor
242;Sashi Menon
243;Thomaz Koch
244;Rolf Thung
245;Raymond Moore
246;Anand Amritraj
247;Paul Gerken
248;Onny Parun
249;Julian Ganzabal
250;Fred McNair IV
251;Tom Gorman
252;Nikola Pilic
253;Jan Kukal
254;Jaime Pinto-Bravo
255;Andres Gimeno
256;Pekka Saila
257;Charlie Pasarell
258;Vladimir Zednik
259;Jun Kamiwazumi
260;Zeljko Franulovic
261;Byron Bertram
262;Terry Moor
263;Joel Ross
264;Karl Meiler
265;Graham Stilwell
266;Frew McMillan
267;Patricio Cornejo
268;Jasjit Singh
269;Leif Johansson
270;Haroon Rahim
271;Hans Kary
272;Eddie Edwards
273;Larry Stefanki
274;Rolf Gehring
275;Cary Leeds
276;Pascal Portes
277;Tom Gullikson
278;Roberto Vizcaino
279;Bud Schultz
280;Per Hegna
281;Angel Gimenez
282;Mike Estep
283;Douglas Palm
284;Colin Dibley
285;Neale Fraser
286;Bo Holmstrom
287;Wolfgang Popp
288;Rick Meyer
289;Trey Waltke
290;Elio Lito Alvarez
291;Bengt Aberg
292;Cliff Drysdale
